Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,1.14162e-66,0.151839,5000,0.998047,15.999,0.998047,0,0.0527344,0.0527344
2,1.14109e-66,0.151839,5000,0.99707,15.9961,0.99707,0,0.046875,0.046875
3,1.14162e-66,0.151839,5000,0.998047,15.998,0.998047,0,0.0556641,0.0556641
4,2.83694e-61,0.15182,5000,0.99707,15.9932,0.99707,0,0.0527344,0.0527344
5,2.55324e-60,0.151678,5000,0.99707,15.9795,0.99707,0,0.0498047,0.0498047
6,7.09233e-60,0.151367,5000,0.99707,15.9688,0.99707,0,0.046875,0.046875
7,1.3901e-59,0.150912,5000,0.998047,15.9385,0.998047,0,0.0527344,0.0527344
8,2.29791e-59,0.150309,5000,0.995117,15.916,0.995117,0,0.0507812,0.0507812
9,3.43269e-59,0.149555,5000,0.992188,15.8828,0.992188,0,0.0517578,0.0517578
10,4.79441e-59,0.148646,5000,0.996094,15.8281,0.996094,0,0.0341797,0.0341797
11,6.38309e-59,0.147586,5000,0.998047,15.7764,0.998047,0,0.0498047,0.0498047
12,8.19873e-59,0.146375,5000,1,15.7041,1,0,0.0654297,0.0654297
13,1.02413e-58,0.145014,5000,1,15.6328,1,0,0.0566406,0.0566406
14,1.24825e-58,0.143522,5000,0.999023,15.5557,0.999023,0,0.0449219,0.0449219
15,1.50074e-58,0.141839,5000,1,15.4727,1,0,0.0556641,0.0556641
16,1.77026e-58,0.14003,5000,1,15.3818,1,0,0.0458984,0.0458984
17,2.06812e-58,0.138059,5000,1,15.2764,1,0,0.0664062,0.0664062
18,2.38302e-58,0.135962,5000,0.999023,15.1582,0.999023,0,0.0419922,0.0419922
19,2.72629e-58,0.133674,5000,1,15.04,1,0,0.0556641,0.0556641
20,2.90502e-58,0.132483,5000,1,14.9678,1,0,0.0498047,0.0498047
21,2.90502e-58,0.132483,5000,1,14.9648,1,0,0.0449219,0.0449219
22,2.90218e-58,0.132503,5000,0.999023,14.9551,0.999023,0,0.0527344,0.0527344
23,2.90502e-58,0.132483,5000,1,14.9678,1,0,0.0585938,0.0585938
24,2.90502e-58,0.132483,5000,1,14.9775,1,0,0.0419922,0.0419922
25,2.90218e-58,0.132503,5000,0.999023,14.9678,0.999023,0,0.0429688,0.0429688
26,2.90502e-58,0.132483,5000,1,14.959,1,0,0.0625,0.0625
27,2.90502e-58,0.132483,5000,1,14.957,1,0,0.0527344,0.0527344
28,2.90502e-58,0.132483,5000,1,14.9541,1,0,0.0546875,0.0546875
29,2.90502e-58,0.132483,5000,1,14.9453,1,0,0.0419922,0.0419922
30,2.90502e-58,0.132483,5000,1,14.9365,1,0,0.0546875,0.0546875
31,2.90502e-58,0.132483,5000,1,14.9375,1,0,0.0546875,0.0546875
32,2.90502e-58,0.132483,5000,1,14.9404,1,0,0.0478516,0.0478516
33,2.90502e-58,0.132483,5000,1,14.9404,1,0,0.0322266,0.0322266
34,2.90218e-58,0.132503,5000,0.999023,14.9375,0.999023,0,0.0537109,0.0537109
35,2.90218e-58,0.132503,5000,0.999023,14.9307,0.999023,0,0.0517578,0.0517578
36,2.89934e-58,0.132523,5000,0.998047,14.9287,0.998047,0,0.0517578,0.0517578
37,2.90502e-58,0.132483,5000,1,14.9385,1,0,0.0546875,0.0546875
38,2.90218e-58,0.132503,5000,0.999023,14.9482,0.999023,0,0.0419922,0.0419922
39,2.90502e-58,0.132483,5000,1,14.9678,1,0,0.0410156,0.0410156
40,2.90502e-58,0.132483,5000,1,14.9756,1,0,0.0527344,0.0527344
41,2.90502e-58,0.132483,5000,1,14.9785,1,0,0.0585938,0.0585938
42,2.90502e-58,0.132483,5000,1,14.9824,1,0,0.0429688,0.0429688
43,2.90502e-58,0.132483,5000,1,14.9854,1,0,0.0615234,0.0615234
44,2.90502e-58,0.132483,5000,1,14.9951,1,0,0.0488281,0.0488281
45,2.90218e-58,0.132503,5000,0.999023,14.9971,0.999023,0,0.0498047,0.0498047
46,2.90502e-58,0.132483,5000,1,15.002,1,0,0.0605469,0.0605469
47,2.89934e-58,0.132523,5000,0.998047,15.0068,0.998047,0,0.0703125,0.0703125
48,2.90502e-58,0.132483,5000,1,15.0039,1,0,0.0498047,0.0498047
49,2.90502e-58,0.132483,5000,1,15.0039,1,0,0.0537109,0.0537109
50,2.90502e-58,0.132483,5000,1,15.0029,1,0,0.0507812,0.0507812
51,2.90502e-58,0.132483,5000,1,15.0059,1,0,0.0498047,0.0498047
52,2.90502e-58,0.132483,5000,1,15.001,1,0,0.0673828,0.0673828
53,2.90502e-58,0.132483,5000,1,14.9922,1,0,0.0566406,0.0566406
54,2.90218e-58,0.132503,5000,1,15.001,0.999023,0.000976562,0.0605469,0.0605469
55,2.89935e-58,0.132508,5000,0.999023,14.9824,0.999023,0,0.0429688,0.0429688
